Date,Song,Artist,Peak Position,Weeks in Charts
2023-10-04,Love You Anyway,Luke Combs,15,33
2024-08-28,Love You; Miss You; Mean It,Luke Bryan,87,3
2024-08-07,Lovin On Me,Jack Harlow,1,38
2024-07-24,Lucifer,Eminem & Sly Pyper,1,-
2024-08-07,Lucky,Halsey,1,-
2024-08-28,Lunch,Billie Eilish,5,14
2024-04-24,Luv Bad Bitches,Future| Metro Boomin & Brownstone,1,-
2024-08-28,M-E-X-I-C-O,Post Malone Featuring Billy Strings,1,-
2024-06-19,Made For Me,Muni Long,20,22
2024-04-10,Magic Don Juan (Princess Diana),Future & Metro Boomin,27,2
2024-04-17,Magnetic,ILLIT,1,-
2023-10-04,Making The Bed,Olivia Rodrigo,19,3
2024-04-17,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,55,15
2024-08-28,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,36,8
2024-04-24,Man Made A Bar,Morgan Wallen Featuring Eric Church,15,30
2023-09-13,Margaritaville,Jimmy Buffett,23,-
2024-07-17,Mechanical Bull,Zach Bryan,1,-
2024-06-05,Meet The Grahams,Kendrick Lamar,12,4
2023-12-13,Meltdown,Travis Scott Featuring Drake,3,19
2023-11-01,Members Only,Drake Featuring PARTYNEXTDOOR,24,3
2024-07-17,Memphis; The Blues,Zach Bryan Featuring John Moreland,1,-
2023-10-25,Mercedes Carota,Bad Bunny & YOVNGCHIMI,1,-
2024-01-03,Merry Christmas,Ed Sheeran & Elton John,7,-
2024-01-17,Mi Ex Tenia Razon,Karol G,22,16
2024-08-28,Miles On It,Marshmello & Kane Brown,18,16
2024-08-28,Million Dollar Baby,Tommy Richman,2,17
2024-01-17,Mind On You,George Birge,62,4
2024-08-07,Misses,Dominic Fike,99,2
2024-08-28,Missin' You Like This,Post Malone Featuring Luke Combs,1,-
2024-01-03,Mistletoe,Justin Bieber,13,-
2024-05-15,Mmhmm,BigXthaPlug,63,20
2024-03-06,Monaco,Bad Bunny,5,20
2023-11-08,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",40,-
2024-03-27,Mr Pot Scraper,BossMan Dlow,1,-
2023-11-01,Mr. October,Bad Bunny,28,2
2023-11-08,Mr. Take Ya B*tch,Lil Mabu & chriseanrock,1,-
2024-03-27,Murder On The Dancefloor,Sophie Ellis-Bextor,51,12
2024-06-19,My Boy Only Breaks His Favorite Toys,Taylor Swift,6,8
2024-03-20,My Eyes,Travis Scott,19,13
2023-12-13,My House,Beyonce,1,-
2024-08-28,My Kink Is Karma,Chappell Roan,81,3
2024-02-14,My Love Mine All Mine,Mitski,26,20
2024-04-10,My Rose,Beyonce,1,-
2024-02-14,N.H.I.E.,21 Savage & Doja Cat,19,4
2023-10-25,Nadie Sabe,Bad Bunny,1,-
2024-08-28,Nasty,Tinashe,61,12
2024-05-22,Neck On A Yacht,Gunna,1,-
2024-03-27,Nee-nah,21 Savage| Travis Scott & Metro Boomin,10,10
2024-03-13,Need A Favor,Jelly Roll,13,47
2024-01-10,Needle,Nicki Minaj Featuring Drake,34,4
2024-08-28,Nel,Fuerza Regida,73,4
2024-06-19,Never Let Go,Jung Kook,1,-
2024-05-15,Never Lose Me,Flo Milli,15,21
2024-08-28,Never Love You Again,Post Malone Featuring Sierra Ferrell,1,-
2023-11-15,New Romantics (Taylor's Version),Taylor Swift,29,2
2024-07-10,New To Country,Bailey Zimmerman,1,-
2024-08-28,New Woman,LISA Featuring Rosalia,1,-
2024-08-28,Nights Like This,The Kid LAROI,47,9
2023-10-04,Nine Ball,Zach Bryan,1,-
2024-02-07,No Caller ID,Megan Moroney,58,2
2023-10-25,No Me Quiero Casar,Bad Bunny,1,-
2024-04-24,Nobody Knows My Struggle,Future & Metro Boomin,1,-
2024-02-28,Northern Attitude,Noah Kahan With Hozier,37,12
2024-07-17,Northern Thunder,Zach Bryan,1,-
2024-08-28,Nosedive,Post Malone Featuring Lainey Wilson,1,-
2023-10-04,Nostalgia,Rod Wave & Wet,40,2
2024-08-28,Not Like Us,Kendrick Lamar,1,16
2023-11-22,Now And Then,The Beatles,7,2
2024-01-17,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,2,8
2024-07-24,Oak Island,Zach Bryan,48,2
2024-06-19,Obsessed,Olivia Rodrigo,14,12
2024-04-10,Oh Louisiana,Beyonce,1,-
2023-10-11,Oh U Went,Young Thug Featuring Drake,19,15
2024-08-21,Okay,JT,6,-
2024-03-20,Oklahoma Smokeshow,Zach Bryan,72,20
2023-09-13,Oklahoman Son,Zach Bryan,47,2
2024-03-06,Old Days,Lil Durk,1,-
2024-03-13,On My Mama,Victoria Monet,33,25
2024-06-12,On One Tonight,Gunna,54,4
2024-04-17,One Call,Rich Amiri,10,-
2023-11-01,One More Time,blink-182,2,-
2024-05-15,One Of The Girls,The Weeknd| Jennie & Lily Rose Depp,51,20
2024-08-28,One Of Wun,Gunna,26,15
2023-11-01,One Of Your Girls,Troye Sivan,1,-
2024-03-20,Ordinary Things,Ariana Grande Featuring Nonna,1,-
2024-07-10,Otaku Hot Girl,Megan Thee Stallion,1,-
2024-04-24,Out Of My Hands,Future & Metro Boomin,1,-
2023-11-22,Out Of The Woods (Taylor's Version),Taylor Swift,16,3
2024-07-31,Outskirts,Sam Hunt,14,-
2024-03-13,Overcompensate,twenty one pilots,1,-
2024-04-24,Overseas,Ken Carson,1,-
2023-09-20,Overtime,Zach Bryan,22,3
2024-07-24,PJ,BossMan DLow & Lil Baby,1,-
2024-02-22,Paid,¥$: Kanye West & Ty Dolla $ign,1,-
2023-10-04,Pain; Sweet; Pain,Zach Bryan,1,-
2024-04-24,Paint The Town Red,Doja Cat,1,37
2024-02-22,Paperwork,¥$: Kanye West & Ty Dolla $ign,1,-
2024-08-21,Parking Lot,Mustard & Travis Scott,57,5
2023-09-27,Pass You By,Rod Wave,1,-
2023-10-25,Peaches & Eggplants,Young Nudy Featuring 21 Savage,33,20
2024-03-27,Perro Negro,Bad Bunny & Feid,20,20
2024-05-08,Peter,Taylor Swift,46,2
2024-04-17,Pi,J. Cole Featuring Daylyt & Ab-Soul,1,-
2023-12-20,Pink Birthday,Nicki Minaj,1,-
2023-12-20,Pink Friday Girls,Nicki Minaj,1,-
2024-08-28,Pink Pony Club,Chappell Roan,26,10
2024-08-28,Pink Skies,Zach Bryan,6,13
2024-01-03,Please Come Home For Christmas,Eagles,18,15
2024-08-28,Please Please Please,Sabrina Carpenter,1,11
2023-10-18,Polar Opposites,Drake,1,-
2024-01-31,Pop Ur Sht,21 Savage| Young Thug & Metro Boomin,31,2
2023-10-18,Popular,The Weeknd| Playboi Carti & Madonna,43,19
2024-08-28,Pour Me A Drink,Post Malone Featuring Blake Shelton,12,9
2024-05-22,Prada Dem,Gunna Featuring Offset,2,-
2024-05-01,Praise Jah In The Moonlight,YG Marley,34,13
2023-09-27,Pretty Isn't Pretty,Olivia Rodrigo,30,2
2024-03-27,Pretty Little Poison,Warren Zeiders,19,28
2024-08-28,Pretty Slowly,Benson Boone,1,-
2024-04-17,Pricey,J. Cole Featuring Ari Lennox| Young Dro & Gucci Mane,1,-
2023-09-13,Primera Cita,Carin Leon,97,2
2023-09-06,Princess Diana,Ice Spice & Nicki Minaj,4,20
2024-02-22,Problematic,¥$: Kanye West & Ty Dolla $ign,1,-
2024-08-14,Promotion,¥$: Kanye West & Ty Dolla $ign Featuring Future,1,-
2024-04-10,Protector,Beyonce & Rumi Carter,1,-
2024-03-13,Prove It,21 Savage & Summer Walker,43,7
2024-02-28,Psycho CEO,Yeat,1,-
2024-04-03,Punteria,Shakira & Cardi B,1,-
2024-07-17,Purple Gas,Zach Bryan & Noeline Hofmann,2,-
2024-06-05,Push Ups,Drake,17,6
2023-09-27,Put It On Da Floor Again,Latto Featuring Cardi B,13,16
2024-01-10,Qlona,Karol G & Peso Pluma,28,21
2024-02-14,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,61,19
2023-12-20,RNB,Nicki Minaj Featuring Lil Wayne & Tate Kobang,1,-
2023-09-27,Rap Beef,Rod Wave,1,-
2024-04-17,Ready '24,J. Cole Featuring Cam'Ron,1,-
2023-11-29,Red Button,Drake,1,-
2024-04-24,Red Leather,Future| Metro Boomin & J. Cole,1,-
2024-01-31,Red Sky,21 Savage| Tommy Newport & Mikky Ekko,57,2
2024-08-28,Red Wine Supernova,Chappell Roan,41,12
2024-06-05,Redrum,21 Savage,5,20
2023-11-01,Religiously,Bailey Zimmerman,13,25
2024-07-03,Reloj,Peso Pluma & Ivan Cornejo,1,-
2024-07-10,Remember Him That Way,Luke Combs,35,3
2024-07-31,Renaissance,Eminem,20,2
2024-08-21,Residuals,Chris Brown,1,-
2024-03-13,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,11,22
2024-01-24,Rich Men North Of Richmond,Oliver Anthony Music,1,20
2024-08-28,Right About You,Post Malone,1,-
2024-04-10,Riiverdance,Beyonce,1,-
2024-07-03,Risk,Gracie Abrams,1,-
2024-07-24,Road Rage,Eminem| Dem Jointz & Sly Pyper,1,-
2024-05-01,Robin,Taylor Swift,1,-
2024-01-03,Rockin' Around The Christmas Tree,Brenda Lee,1,58
2024-07-10,Rockstar,LISA,1,-
2024-01-17,Rompe La Dompe,Peso Pluma| Junior H & Oscar Maydon,81,2
2023-10-11,Rubicon,Peso Pluma,12,-
2024-01-03,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,16,27
2024-01-17,Run For The Hills,Tate McRae,69,4
2024-01-03,Run Rudolph Run,Chuck Berry,10,22
2024-04-03,Runnin Outta Time,Future & Metro Boomin,1,-
2023-09-13,S91,Karol G,45,6
2024-01-17,Sabor Fresa,Fuerza Regida,16,-
2024-08-28,Sailor Song,Gigi Perez,1,-
2024-07-24,Sandpaper,Zach Bryan Featuring Bruce Springsteen,71,2
2024-01-03,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,20,9
2024-01-03,Santa Claus Is Comin' To Town,Jackson 5,30,11
2024-01-03,Santa Tell Me,Ariana Grande,11,24
2023-11-15,Sarah's Place,Zach Bryan Featuring Noah Kahan,4,-
2024-08-28,Saturn,SZA,6,26
2024-03-27,Save Me,Jelly Roll With Lainey Wilson,19,37
2024-01-31,Save Me The Trouble,Dan + Shay,38,13
2023-12-06,Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift,5,5
2023-11-01,Say My Grace,Offset Featuring Travis Scott,48,2
2024-04-03,Scared Of My Guitar,Olivia Rodrigo,1,-
2024-07-31,Scared To Start,Michael Marcagi,54,23
2023-10-18,Screw The World Interlude,Drake,1,-
2023-11-01,Seda,Bad Bunny & Bryant Myers,38,2
2024-01-24,See The Real,21 Savage,1,-
2023-09-13,See You Again,Tyler| The Creator Featuring Kali Uchis,44,20
2024-04-03,Seen It All,Future & Metro Boomin,1,-
2024-01-31,Segun Quien,Maluma & Carin Leon,65,17
2024-05-01,Selfish,Justin Timberlake,19,13
2024-04-03,Sensational,Chris Brown Featuring Davido & Lojay,71,8
2023-11-22,Seven,Jung Kook Featuring Latto,1,15
2023-11-15,Shake It Off (Taylor's Version),Taylor Swift,28,2
2023-09-13,Shake Sumn,DaBaby,65,16
2023-10-11,Shaq & Kobe,Rick Ross & Meek Mill,1,-
2024-02-22,She Calls Me Back,Noah Kahan With Kacey Musgraves,2,-
2024-08-28,She's Somebody's Daughter (Reimagined),Drew Baldridge,93,2
2024-02-14,Should've Wore A Bonnet,21 Savage & Brent Faiyaz,40,4
2024-04-24,Show Of Hands,Future| Metro Boomin & A$AP Rocky,1,-
2024-08-28,Si Antes Te Hubiera Conocido,Karol G,32,9
2024-06-19,Si No Es Contigo,Cris Mj,72,3
2024-08-28,Si No Quieres No,Luis R Conriquez x Neton Vega,53,16
2023-11-22,Single Soon,Selena Gomez,19,12
2023-09-20,Sittin' On Top Of The World,Burna Boy,80,3
2023-11-29,SkeeYee,Sexyy Red,62,12
2024-01-31,Skin And Bones,David Kushner,1,-
2024-06-19,Skinny,Billie Eilish,18,4
2024-01-03,Sleigh Ride,The Ronettes,8,28
2024-08-14,Slide,¥$: Kanye West & Ty Dolla $ign,1,-
2024-01-17,Slime You Out,Drake Featuring SZA,1,14
2024-04-10,Slimed In,Future & Metro Boomin,20,2
2023-09-20,Slow Dancing,V,1,-
2024-08-28,Slow It Down,Benson Boone,34,22
2023-12-06,Slut! (Taylor's Version) [From The Vault],Taylor Swift,3,5
2023-09-20,Smaller Acts,Zach Bryan,38,3
2024-07-10,Smeraldo Garden Marching Band,Jimin & Loco,1,-
2023-11-22,Smurk Carter,Lil Durk,1,-
2024-02-07,Sneaky,21 Savage,33,3
2024-04-24,Snooze,SZA,2,70
2024-04-03,So American,Olivia Rodrigo,1,-
2024-05-22,So High School,Taylor Swift,24,4
2024-06-19,So Long; London,Taylor Swift,5,8
2024-05-01,Soak City,310babii,53,19
2024-01-17,Soak City (Do It),310babii,66,4
2024-08-07,Somebody Save Me,Eminem & Jelly Roll,27,3
2024-04-10,Spaghettii,Beyonce| Linda Martell & Shaboozey,1,-
2024-06-26,Spin You Around (1/24),Morgan Wallen,24,20
2023-10-11,Spotless,Zach Bryan Featuring The Lumineers,17,6
2023-09-13,Stand By Me,Lil Durk Featuring Morgan Wallen,22,15
2024-03-20,Standing Next To You,Jung Kook,5,19
2023-11-22,Standing Room Only,Tim McGraw,60,10
2024-08-28,Stargazing,Myles Smith,40,15
2024-02-22,Stars,¥$: Kanye West & Ty Dolla $ign,1,-
2023-11-22,Stars Like Confetti,Dustin Lynch,81,6
2024-04-17,Stealth Mode,J. Cole Featruing Bas,1,-
2024-08-28,Stick Season,Noah Kahan,9,47
2024-04-17,Stickz N Stonez,J. Cole,1,-
2023-11-29,Stories About My Brother,Drake,1,-
2024-04-03,Stranger,Olivia Rodrigo,1,-
2024-02-14,Strangers,Kenya Grace,42,21
2024-04-24,Streets Made Me A King,Future & Metro Boomin,1,-
2023-11-29,Style (Taylor's Version),Taylor Swift,9,4
2023-11-22,Suburban Legends (Taylor's Version) [From The Vault],Taylor Swift,10,3
2023-09-20,Summer Too Hot,Chris Brown,93,4
2023-09-20,Summertime's Close,Zach Bryan,23,3
2024-02-22,Sunday Service,Latto,1,-
2023-09-06,Super Shy,NewJeans,48,8
2024-04-03,Supernatural,Ariana Grande,17,3
2024-04-03,Surround Sound,JID Featuring 21 Savage & Baby Tate,40,20
2024-04-10,Sweet * Honey * Buckiin',Beyonce & Shaboozey,1,-
2024-08-21,Sweet Dreams,Koe Wetzel,35,13
2024-08-28,TGIF,GloRilla,28,9
2023-09-20,TQM,Fuerza Regida,34,17
2024-06-26,Take Her Home,Kenny Chesney,71,6
2024-02-28,Talking,¥$: Kanye West & Ty Dolla $ign Featuring North West,30,2
2023-09-27,Teenage Dream,Olivia Rodrigo,39,2
2023-11-01,Telefono Nuevo,Bad Bunny & Luar La L,32,2
2023-10-18,Telekinesis,Travis Scott Featuring SZA & Future,26,11
2024-05-22,Tell Ur Girlfriend,Lay Bankz,58,5
2024-07-24,Temporary,Eminem & Skylar Grey,1,-
2024-07-03,Texas Hold 'Em,Beyonce,1,20
2024-05-15,The Albatross,Taylor Swift,30,3
2024-06-05,The Alchemy,Taylor Swift,13,6
2024-05-22,The Black Dog,Taylor Swift,25,4
2024-05-08,The Bolter,Taylor Swift,47,2
2024-08-28,The Boy Is Mine,Ariana Grande,16,16
2024-01-03,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",9,44
2024-06-05,The Craving,Twenty One Pilots,1,-
2024-06-19,The Diner,Billie Eilish,31,4
2024-08-28,The Door,Teddy Swims,48,12
2024-07-17,The Great American Bar Scene,Zach Bryan,1,-
2024-06-19,The Greatest,Billie Eilish,24,4
2023-10-11,The Grudge,Olivia Rodrigo,16,4
2024-07-03,The Man He Sees In Me,Luke Combs,39,3
2024-05-08,The Manuscript,Taylor Swift,51,2
2024-03-20,The Painter,Cody Johnson,25,23
2024-05-22,The Prophecy,Taylor Swift,32,4
2023-10-11,The Secret Recipe,Lil Yachty & J. Cole,1,-
2023-11-29,The Shoe Fits,Drake,1,-
2024-06-12,The Smallest Man Who Ever Lived,Taylor Swift,14,7
2024-06-26,The Thin Grey Line,$uicideboy$,1,-
2024-06-12,The Tortured Poets Department,Taylor Swift,4,7
2024-07-17,The Way Back,Zach Bryan,1,-
2023-09-06,There I Go,Gucci Mane Featuring J. Cole & Mike WiLL Made-It,1,-
2024-08-28,Think I'm In Love With You,Chris Stapleton,49,16
2024-03-13,Think U The Shit (Fart),Ice Spice,37,6
2024-03-27,Thinkin' Bout Me,Morgan Wallen,7,55
2024-01-03,This Christmas,Donny Hathaway,34,5
2023-11-08,This Is Halloween,The Citizens of Halloween,1,-
2023-11-08,This Love (Taylor's Version),Taylor Swift,2,-
2024-04-24,This Sunday,Future & Metro Boomin,1,-
2024-06-26,Thorns,$uicideboy$,1,-
2023-11-08,Thriller,Michael Jackson,23,-
2023-10-25,Thunder y Lightning,Bad Bunny & Eladio Carrion,1,-
2023-09-20,Ticking,Zach Bryan,29,3
2024-08-07,Tobey,Eminem| Big Sean & BabyTron,24,5
2023-12-06,Too Much,The Kid LAROI| Jung Kook & Central Cee,44,6
2024-08-28,Too Sweet,Hozier,1,22
2024-06-26,Tore Up,Don Toliver,1,-
2024-08-14,Tough,Quavo & Lana Del Rey,33,5
2024-03-27,Tourniquet,Zach Bryan,20,12
2024-07-17,Towers,Zach Bryan,1,-
2023-09-13,Tradesman,Zach Bryan,44,2
2024-04-17,Trae The Truth In Ibiza,J. Cole,1,-
2024-05-15,Training Season,Dua Lipa,10,-
2023-10-25,Tried Our Best,Drake,21,2
2024-07-24,Trouble,Eminem,1,-
2024-04-03,Truck Bed,HARDY,27,41
2024-03-27,True Story,Ariana Grande,30,2
2023-12-06,Try That In A Small Town,Jason Aldean,1,20
2024-06-12,Tu Name,Fuerza Regida,66,14
2024-06-12,Tucson Too Late,Jordan Davis,71,14
2023-10-11,Tulum,Peso Pluma & Grupo Frontera,43,14
2024-01-10,Turks & Caicos,Rod Wave Featuring 21 Savage,13,-
2024-02-14,Turn The Lights Back On,Billy Joel,1,-
2024-08-14,Type Shit,Future| Metro Boomin| Travis Scott & Playboi Carti,2,20
2024-04-17,Tyrant,Beyonce & Dolly Parton,44,2
2024-08-28,U My Everything,Sexyy Red & Drake,44,13
2023-11-15,Un Preview,Bad Bunny,43,7
2023-09-06,Un x100to,Grupo Frontera X Bad Bunny,5,20
2024-01-03,Underneath The Tree,Kelly Clarkson,11,27
2024-05-01,Us Vs. Them,$uicideBoy$,1,-
2024-07-10,Us.,Gracie Abrams Featuring Taylor Swift,36,2
2024-01-24,Used To Be Young,Miley Cyrus,8,21
2024-03-27,Vampire,Olivia Rodrigo,1,35
2024-07-03,Vino Tinto,Peso Pluma| Natanael Cano & Gabito Ballesteros,1,-
2024-01-31,Virginia Beach,Drake,3,14
2023-10-25,Vou 787,Bad Bunny,1,-
2023-10-25,Vuelve Candy B,Bad Bunny,1,-
2024-02-28,Vultures,¥$: Kanye West & Ty Dolla $ign Featuring Lil Durk & Bump J,34,2
2024-04-03,WTFYM,Future & Metro Boomin,1,-
2024-08-28,Wanna Be,GloRilla & Megan Thee Stallion,11,20
2024-08-07,Wanna Be Loved,The Red Clay Strays,1,-
2024-04-24,Water,Tyla,7,29
2023-11-15,Watermelon Moonshine,Lainey Wilson,21,20
2024-08-28,We Can't Be Friends (Wait For Your Love),Ariana Grande,1,24
2024-07-03,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,12,-
2024-04-24,We Don't Trust You,Future & Metro Boomin,8,4
2024-08-14,We Ride,Bryan Martin,56,18
2024-05-01,We Still Don't Trust You,Future| Metro Boomin & The Weeknd,22,2
2023-11-15,Welcome To New York (Taylor's Version),Taylor Swift,14,2
2024-08-28,What Don't Belong To Me,Post Malone,1,-
2023-11-29,What It Is (Block Boy),Doechii Featuring Kodak Black,29,29
2024-03-27,What Was I Made For?,Billie Eilish,14,35
2023-11-01,What Would Pluto Do,Drake,18,3
2024-07-10,Whatever She Wants,Bryson Tiller,19,20
2024-05-22,Whatsapp (Wassam),Gunna,62,2
2024-01-31,When It Comes To You,Fridayy,2,-
2024-07-10,Where It Ends,Bailey Zimmerman,32,27
2024-04-03,Where My Twin @,Future & Metro Boomin,1,-
2023-10-25,Where She Goes,Bad Bunny,20,-
2024-04-24,Where The Wild Things Are,Luke Combs,26,22
2024-07-10,Where Them Girls At,Megan Thee Stallion,1,-
2024-08-28,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,21,10
2024-01-03,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,12,35
2024-02-14,White Horse,Chris Stapleton,12,29
2024-08-28,Who,Jimin,12,5
2024-07-10,Who's Afraid Of Little Old Me?,Taylor Swift,9,11
2024-08-21,Why Why Why,Shawn Mendes,1,-
2023-11-29,Wick Man,Drake,1,-
2024-06-26,Wild Ones,Jessie Murph & Jelly Roll,35,37
2023-11-22,Wildest Dreams (Taylor's Version),Taylor Swift,19,4
2024-08-28,Wildflower,Billie Eilish,17,14
2024-04-03,Wildflower And Barley,Hozier & Allison Russell,1,-
2024-05-22,Wildflowers And Wild Horses,Lainey Wilson,48,16
2024-08-28,Wind Up Missin' You,Tucker Wetmore,63,21
2024-08-21,Wine Into Whiskey,Tucker Wetmore,68,20
2024-01-03,Winter Wonderland,Chloe,87,2
2024-07-24,Woman's World,Katy Perry,1,-
2024-01-03,Wonderful Christmastime,Paul McCartney,26,13
2024-07-10,Wondering Why,The Red Clay Strays,14,-
2023-11-08,Wonderland (Taylor's Version),Taylor Swift,1,-
2024-03-20,World On Fire,Nate Smith,21,20
2024-03-20,Worth It,Offset & Don Toliver,90,8
2024-08-28,Wrong Ones,Post Malone Featuring Tim McGraw,1,-
2024-02-14,Y Lloro,Junior H,79,7
2024-04-17,Ya Ya,Beyonce,39,2
2024-08-07,Yeah Glo!,GloRilla,28,25
2024-02-28,Yeah!,Usher Featuring Lil Jon & Ludacris,1,47
2024-04-17,Yes; And?,Ariana Grande,1,13
2023-11-08,You Are In Love (Taylor's Version),Taylor Swift,1,-
2024-04-03,You Broke My Heart,Drake,11,19
2024-08-28,You Look Like You Love Me,Ella Langley Featuring Riley Green,36,9
2024-01-03,You're A Mean One; Mr. Grinch,Thurl Ravenscroft,31,12
2024-02-22,You're Gonna Go Far,Noah Kahan,1,-
2024-01-17,You're Losing Me (From The Vault),Taylor Swift,27,7
2024-04-24,Young Metro,Future| Metro Boomin & The Weeknd,9,4
2023-09-13,Your Heart Or Mine,Jon Pardi,47,17
2024-06-26,Your Place,Ashley Cooke,80,4
2024-08-28,Yours,Post Malone,1,-
2024-07-03,feelslikeimfallinginlove,Coldplay,1,-
2024-05-22,imgonnagetyouback,Taylor Swift,26,4
2024-06-12,loml,Taylor Swift,12,7
2024-05-15,thanK you aIMee,Taylor Swift,23,3
